locname,nfil,alias,xcr,ycr,firstdate,lastdate,nyears,yearspan
B01C0008,1,01CP9008,145980.0,601476.0,1994-05-31,2018-09-08,25,25
B01C0009,1,01CP9009,145959.0,601157.0,1994-05-31,2018-09-08,25,25
B01C0010,1,01CP9010,146005.0,600532.0,1994-05-31,2018-09-08,25,25
B01C0013,1,01CP0001,144820.0,600965.0,1968-04-15,2016-04-24,39,49
B01C0017,1,01CL0005,149100.0,602150.0,1954-06-15,2000-09-19,46,47
B01C0018,1,01CL0007,146123.0,601167.0,1954-06-15,2018-09-08,63,65
B01C0019,1,01CL0008,148180.0,601440.0,1954-06-15,1968-03-15,14,15
B01C0020,1,01CL0008,148180.0,601410.0,1972-04-17,2000-09-19,29,29
B01C0021,1,01CL0009,149300.0,601720.0,1954-06-15,1971-07-15,17,18
B01C0022,1,01CL0009,149260.0,601750.0,1972-04-17,2000-09-19,29,29
B01C0023,1,01CL0010,149200.0,601380.0,1954-06-15,2000-09-19,46,47
B01C0024,1,01CL0011,149300.0,601140.0,1954-06-15,2000-09-19,43,47
B01C0025,1,01CL0013,143080.0,600320.0,1955-10-14,2011-03-30,57,57
B01C0027,1,01CL0016,145940.0,600260.0,1954-06-15,1969-12-15,16,16
B01C0028,1,01CL0016,145930.0,600310.0,1972-05-14,2000-09-19,29,29
B01C0029,1,01CL0017,145996.0,600632.0,1954-06-15,2018-09-08,63,65
B01C0030,1,01CL0018,146100.0,600040.0,1954-06-15,1969-12-15,16,16
B01C0031,1,01CL0019,147080.0,600920.0,1954-06-15,2000-09-19,46,47
B01C0032,1,01CL0020,147750.0,600570.0,1954-06-15,1960-02-14,7,7
B01C0033,1,01CL0020,147750.0,600580.0,1961-01-13,2000-09-19,40,40
B01C0034,1,01CL0021,148200.0,600050.0,1954-06-15,1955-08-24,2,2
B01C0035,1,01CL0021,148200.0,600040.0,1961-01-14,1995-05-01,34,35
B01C0036,1,01CL0022,149340.0,600800.0,1954-06-15,1957-01-14,4,4
B01C0037,1,01CL0022,149320.0,600780.0,1961-01-14,2000-09-19,40,40
B01C0038,1,01CL0023,149430.0,600450.0,1954-06-15,2000-08-28,46,47
B01C0039,1,01CL0024,149540.0,600180.0,1954-06-15,1985-10-28,32,32
B01C0040,2,01CP7001,147390.0,601440.0,1996-05-30,2019-10-01,24,24
B01C0041,2,01CP7002,149800.0,601700.0,1996-05-28,2005-03-14,10,10
B01C0042,2,01CP7003,143880.0,600080.0,1996-05-30,2005-04-25,10,10
B01C0043,2,01CP7004,146119.0,601154.0,1996-05-30,2019-10-01,24,24
B01C0044,2,01CP7005,145987.0,600861.0,1996-05-28,2019-10-01,24,24
B01C0045,3,01CP7006,146464.0,600133.0,1996-05-30,2019-10-01,24,24
B01C0046,3,01CP7007,146536.0,600101.0,1996-05-30,2019-10-01,24,24
B01C0047,3,01CP7008,146632.0,600075.0,1996-05-28,2019-10-01,24,24
B01C0048,3,01CP7009,146682.0,600040.0,1996-05-28,2019-10-01,24,24
B01C0049,1,01CP7010,144996.0,600191.0,1996-05-30,2019-10-01,24,24
B01C0050,2,01CP7011,146266.0,600730.0,1996-05-30,2019-10-01,24,24
B01C0056,1,,145993.0,600868.0,2005-09-14,2019-10-01,15,15
B01C0057,1,,146003.0,600876.0,2005-09-14,2019-10-01,15,15
B01C0167,1,,145764.0,600794.0,2011-09-15,2019-10-01,9,9
B01C0168,1,,145760.0,601456.0,2011-09-15,2019-10-01,9,9
B01C0169,1,,146665.0,601063.0,2011-09-15,2019-10-01,9,9
B01C0170,2,,147025.0,600900.0,2011-09-15,2014-02-26,4,4
B01C0171,1,,147526.0,601361.0,2012-01-26,2019-10-29,8,8
B01C0172,1,,148262.0,601863.0,2012-01-26,2019-10-29,8,8
B01C0173,1,,148254.0,601564.0,2012-01-26,2018-12-12,7,7
B01C0174,1,,147594.0,600516.0,2011-09-15,2019-10-01,9,9
B01C0175,1,,147790.0,600405.0,2012-01-26,2019-10-29,8,8
B01C0176,1,,146245.0,600198.0,2012-01-26,2019-10-29,8,8
B01D0004,1,01DB0004,152070.0,601170.0,1952-02-14,1979-10-29,28,28
B01D0033,3,01DP9033,152557.0,600998.0,1994-05-30,2018-09-07,25,25
B01D0034,1,01DP9034,152556.0,600147.0,1994-05-30,2018-09-05,23,25
B01D0035,1,01DP9035,152263.0,600503.0,1994-05-30,2018-09-05,24,25
B01D0036,2,01DP9036,151997.0,601948.0,1994-05-31,2018-09-05,25,25
B01D0037,2,01DP9037,151876.0,602773.0,1994-05-31,2018-09-05,25,25
B01D0038,2,01DP9001,154950.0,603713.0,1997-08-28,2018-09-05,22,22
B01D0039,2,01DP9002,154917.0,602471.0,1997-08-28,2018-09-05,22,22
B01D0040,1,01DL9038,151388.0,602875.0,2002-07-11,2018-09-05,17,17
B01D0041,1,01DL0001,157000.0,604560.0,1955-10-14,2000-09-18,46,46
B01D0042,1,01DL0002,157200.0,604500.0,1955-10-14,2000-09-18,46,46
B01D0043,1,01DL0003,157630.0,604590.0,1955-10-14,2000-09-18,46,46
B01D0044,1,01DL0005,151320.0,603060.0,1955-10-14,2002-06-27,48,48
B01D0045,1,01DL0006,152680.0,603220.0,1954-06-15,1968-02-14,15,15
B01D0046,1,01DL0006,152920.0,603040.0,1972-04-17,1994-05-29,23,23
B01D0047,1,01DL0006,152900.0,603040.0,1994-06-14,2000-09-19,7,7
B01D0048,1,01DL0007,154520.0,603940.0,1954-06-15,1971-09-14,18,18
B01D0049,1,01DL0007,154690.0,603950.0,1972-04-17,1977-11-14,6,6
B01D0050,1,01DL0008,154980.0,603150.0,1954-06-15,2000-09-19,47,47
B01D0051,1,01DL0010,155350.0,604020.0,1954-06-15,1960-01-28,7,7
B01D0052,1,01DL0010,155360.0,603980.0,1961-01-14,1979-07-28,18,19
B01D0053,1,01DL0011,155060.0,603600.0,1954-06-15,2000-09-19,47,47
B01D0054,1,01DL0012,156860.0,603580.0,1955-10-14,2000-09-18,46,46
B01D0055,1,01DL0013,157040.0,603530.0,1955-10-14,1980-09-29,26,26
B01D0056,1,01DL0014,150890.0,602860.0,1955-10-14,2000-09-19,46,46
B01D0057,1,01DL0016,151450.0,602860.0,1954-06-15,1972-04-17,19,19
B01D0058,1,01DL0017,151770.0,602660.0,1954-06-15,2011-03-30,58,58
B01D0059,1,01DL0018,151080.0,602140.0,1955-10-14,2000-09-19,46,46
B01D0060,1,01DL0019,152040.0,602480.0,1954-06-15,1965-10-14,12,12
B01D0061,1,01DL0019,152100.0,602430.0,1966-04-14,2000-09-19,35,35
B01D0062,1,01DL0020,155000.0,602860.0,1954-06-15,2000-09-19,47,47
B01D0063,1,01DL0021,154990.0,602530.0,1954-06-15,2000-09-19,47,47
B01D0064,1,01DL0023,155050.0,602230.0,1954-06-15,1962-11-14,9,9
B01D0065,1,01DL0023,155050.0,602210.0,1963-07-15,1982-02-15,20,20
B01D0066,1,01DL0023,154960.0,602200.0,1982-06-14,2000-09-14,18,19
B01D0067,1,01DL0024,155120.0,602040.0,1954-06-15,2000-09-14,45,47
B01D0068,1,01DL0025,156300.0,602480.0,1955-10-14,2000-09-18,46,46
B01D0069,1,01DL0026,156940.0,602630.0,1955-10-14,2000-09-18,46,46
B01D0070,1,01DL0027,156830.0,602520.0,1955-10-14,2000-09-18,46,46
B01D0071,1,01DL0028,157280.0,602440.0,1955-10-14,2000-09-18,46,46
B01D0072,1,01DL0029,157940.0,602620.0,1955-10-14,2000-09-18,46,46
B01D0073,1,01DL0031,151938.0,601899.0,1954-06-15,2018-09-05,65,65
B01D0074,1,01DL0032,152880.0,601790.0,1954-06-15,1970-06-15,17,17
B01D0075,1,01DL0032,152880.0,601800.0,1972-04-17,2011-03-30,40,40
B01D0076,1,01DL0033,152290.0,601450.0,1954-06-15,1982-05-14,29,29
B01D0077,1,01DL0033,152300.0,601460.0,1982-06-14,2000-09-14,18,19
B01D0078,1,,,,1954-06-15,1987-04-14,32,34
B01D0079,1,01DL0034,152380.0,601210.0,1991-12-17,2018-09-07,27,28
B01D0080,1,01DL0035,153140.0,601210.0,1954-06-15,1992-12-14,39,39
B01D0081,1,01DL0036,153850.0,601290.0,1954-06-15,2000-09-14,45,47
B01D0082,1,01DL0037,153990.0,601850.0,1954-06-15,1963-05-14,9,10
B01D0083,1,01DL0037,154000.0,601860.0,1963-07-15,1993-01-15,31,31
B01D0084,1,01DL0037,154000.0,601840.0,1994-06-14,2000-09-14,6,7
B01D0085,1,01DL0038,152240.0,600490.0,1954-06-15,1992-03-14,39,39
B01D0086,1,01DL0039,152570.0,600160.0,1954-06-15,1992-03-14,39,39
B01D0087,1,01DL0040,152330.0,602800.0,1972-04-28,1994-05-29,23,23
B01D0088,1,01DL0040,152330.0,602870.0,1994-06-14,2000-09-19,7,7
B01D0089,1,01DL0041,150960.0,601100.0,1980-02-14,2000-09-18,21,21
B01D0090,1,01DL9034,152575.0,600161.0,1994-05-30,1994-11-15,1,1
B01D0091,1,01DL9034,152600.0,600150.0,1996-01-02,2018-09-05,22,23
B01D0092,1,01DL9035,152287.0,600522.0,1994-05-30,2018-09-05,24,25
B01D0093,3,01DP7000,151300.0,602770.0,1991-06-13,1996-04-15,6,6
B01D0094,1,01DP7000,151260.0,602770.0,1996-06-28,2005-03-14,10,10
B01D0095,3,01DP7001,151300.0,602720.0,1991-06-13,1996-04-15,6,6
B01D0096,3,01DP7002,151130.0,602730.0,1991-06-13,1993-06-28,3,3
B01D0097,3,01DP7003,150970.0,602720.0,1991-06-13,1994-10-27,4,4
B01D0098,1,01DP7003,150800.0,602740.0,1996-05-28,2005-03-14,10,10
