location,date,remark
P01H0002,2016-01-26,Gestopt met de opnames
P02G0011,2016-09-20,8?
P02G0011,2017-05-23,15?
P02G0011,2018-05-22,7.5?
P02G0013,2016-08-22,128=meterfout
P04G0001,2013-02-28,Kroon's Polders Water afgelaten op 20-02
P05H0004,2005-10-27,Schaal verdwenen
P05H0005,2002-09-30,peilschaal verdwenen
P05H0005,2002-10-15,peilschaal verdwenen
P05H0005,2002-10-28,peilschaal verdwenen
P06A0006,1997-10-15,Schaal stuk
P06A0006,1997-10-30,Schaal stuk
P06A0007,2012-03-14,Schaal weg
P06A0007,2012-03-27,Schaal weg
P06B0001,1993-08-28,Verlof
P06B0001,1995-10-16,Werkzaamheden.schaal niet af te lezen
P06B0004,2001-03-14,MKZ
P06B0004,2001-03-28,MKZ
P06B0004,2001-04-14,MKZ
P06B0004,2001-04-28,MKZ
P06B0004,2001-05-14,MKZ
P06B0004,2002-02-14,Geen gegevens
P06B0004,2002-02-28,Geen gegevens
P06B0004,2007-12-14,Geen gegevens
P06B0004,2007-12-28,Geen gegevens
P06B0006,2007-01-10,Kapot
P06B0006,2007-01-28,Kapot
P06C0002,1997-04-15,onwaarschijnlijke waarde van 196 cm
P06C0004,2011-12-14,Schaal weg
P06C0004,2011-12-28,Schaal weg
P06D0010,2002-01-28,Peilschaal onder water
P06D0010,2002-02-28,terein onder water
P06D0010,2004-12-28,vakantie
P06D0010,2005-01-14,onder water
P06D0010,2005-01-25,onder water
P06D0013,2006-06-27,orginele opname: 251 mp
P06D0014,2008-11-14,overstort SBB
P06D0014,2008-11-26,overstort SBB
P06D0014,2008-12-28,vakantie
P06D0014,2009-01-14,overstort SBB
P06D0014,2009-01-28,overstort SBB
P06D0014,2009-02-26,Stuw SBB
P06D0014,2009-03-30,Stuw SBB
P06D0016,2015-08-28,Niet bereikbaar. Gestopt met de opnames
P06E0005,2012-02-15,lucht
P06E0005,2012-02-16,lucht
P06E0005,2012-02-17,lucht
P06E0005,2012-02-18,lucht
P06E0005,2012-02-19,lucht
P06E0005,2012-02-20,lucht
P06E0005,2012-02-21,lucht
P06E0005,2012-02-22,lucht
P06E0005,2012-02-23,lucht
P06E0005,2012-02-24,lucht
P06E0005,2012-02-25,lucht
P06E0005,2012-02-26,lucht
P06E0005,2012-02-27,lucht
P06E0005,2012-02-28,lucht
P06E0005,2012-02-29,lucht
P06E0005,2012-03-01,lucht
P06E0005,2012-03-02,lucht
P06E0005,2012-03-03,lucht
P06E0005,2012-03-04,lucht
P06E0005,2012-03-05,lucht
P06E0005,2012-03-06,lucht
P06E0005,2012-03-07,lucht
P06E0005,2012-03-08,lucht
P06E0005,2012-03-09,lucht
P06E0005,2012-03-10,lucht
P06E0005,2012-03-11,lucht
P06E0005,2012-03-12,lucht
P06E0005,2012-03-13,lucht
P06E0005,2012-03-14,lucht
P06E0005,2012-03-15,lucht
P06E0005,2012-03-16,lucht
P06E0005,2014-10-17,foute meting
P06E0005,2014-10-18,foute meting
P06E0005,2014-10-19,foute meting
P06E0005,2014-10-20,foute meting
P06E0005,2014-10-21,foute meting
P06E0005,2014-10-22,foute meting
P06E0005,2014-10-23,foute meting
P06E0005,2014-10-24,foute meting
P06E0005,2014-10-25,foute meting
P06E0005,2014-10-26,foute meting
P06E0005,2014-10-27,foute meting
P06G0009,1997-01-28,Geen gegevens
P06G0009,1997-02-14,Geen gegevens
P06G0009,1997-02-28,Geen gegevens
P06G0009,1997-03-14,Geen gegevens
P06G0009,1998-10-27,Onbereikbaar ivm hoog water
P06G0009,1999-03-29,100 jarig bestaan SBB
P06G0009,1999-06-16,Inmeten kadaster
P06G0009,1999-08-12,Vakantie
P06G0009,1999-09-14,Besturendag
P06G0009,2001-03-14,MKZ
P06G0009,2001-03-28,MKZ
P06G0009,2001-04-14,MKZ
P06G0009,2001-04-28,MKZ
P06G0009,2001-07-16,Geen gegevens
P06G0009,2001-07-30,Geen gegevens
P06G0009,2002-12-28,Verlof
P06G0009,2007-12-14,Geen gegevens
P06G0009,2007-12-28,Geen gegevens
P06G0009,2009-12-28,Gestopt met de opnames
P06G0011,1997-01-14,Geen gegevens
P06G0011,1997-01-28,Geen gegevens
P06G0011,1997-02-14,Geen gegevens
P06G0011,1997-02-28,Geen gegevens
P06G0011,1997-03-14,Geen gegevnes
P06G0011,1999-03-29,100 jarig SBB
P06G0011,1999-06-16,Inmeten kadaster
P06G0011,1999-08-12,Vakantie
P06G0011,1999-09-14,Besturendag
P06G0011,2001-03-14,MKZ
P06G0011,2001-03-28,MKZ
P06G0011,2001-04-14,MKZ
P06G0011,2001-04-28,MKZ
P06G0011,2001-06-28,Personeelsgebrek
P06G0011,2001-07-16,Vakantie
P06G0011,2002-12-28,Verlof
P06G0011,2004-08-12,Geen gegevens
P06G0011,2004-08-27,Geen gegevens
P06G0011,2007-12-14,Geen gegevens
P06G0011,2007-12-28,Geen gegevens
P06G0013,2003-11-14,Verdwenen
P06G0013,2003-11-28,Verdwenen
P06G0014,2002-09-14,Defect
P06G0014,2002-09-28,Defect
P06G0014,2002-10-14,Defect
P06G0014,2002-10-28,Defect
P06G0014,2002-11-14,Defect
P06G0014,2002-11-28,Defect
P06G0014,2002-12-14,Defect
P06G0014,2002-12-28,Defect
P06G0015,2005-04-14,Geen gegevens
P06G0015,2005-04-28,Geen gegevens
P07D0001,2000-07-14,Vakantie
P07D0001,2000-07-28,Vakantie
P07D0001,2000-12-28,Vakantie
P07D0001,2001-03-28,MKZ
P07D0001,2001-04-14,MKZ
P07D0001,2001-04-28,MKZ
P07D0001,2001-05-14,MKZ
P07D0001,2001-05-28,MKz
P07D0001,2001-06-14,MKZ
P07D0001,2001-06-28,MKZ
P07D0001,2001-07-14,MKZ
P07D0001,2001-07-28,MKZ
P07D0001,2001-08-14,MKZ
P07D0001,2001-08-28,MKZ
P07D0001,2001-12-28,Onbereikbaar door hoge waterstand
P07D0001,2002-01-28,Onbereikbaar door hoge waterstand
P07D0001,2002-04-28,Verlof
P07D0001,2002-05-14,Gegevens zoek.wel opgenomen
P07D0001,2002-05-28,Gegevens zoek.wel opgenomen
P07D0001,2002-07-14,Gegevens zoek.wel opgenomen
P07D0001,2002-07-28,Gegevens zoek.wel opgenomen
P07D0001,2002-12-28,Verlof
P07D0001,2004-08-28,Weg afgesloten door werkzaamheden
P07D0001,2004-09-28,Weg afgesloten door werkzaamheden
P07D0001,2004-10-28,Weg afgesloten door werkzaamheden
P07D0001,2004-11-28,Weg afgesloten door werkzaamheden
P07D0001,2004-12-28,Verlof
P07D0002,2000-07-14,Vakantie
P07D0002,2000-07-28,Vakantie
P07D0002,2000-12-28,Vakantie
P07D0002,2001-03-28,MKZ
P07D0002,2001-04-14,MKZ
P07D0002,2001-04-28,MKZ
P07D0002,2001-05-14,MKZ
P07D0002,2001-05-28,MKZ
P07D0002,2001-06-14,MKZ
P07D0002,2001-06-28,MKZ
P07D0002,2001-07-14,MKZ
P07D0002,2001-07-28,MKZ
P07D0002,2001-08-14,MKZ
P07D0002,2001-08-28,MKZ
P07D0002,2001-12-28,Vakantie
P07D0002,2002-01-28,Onbereikbaar door hoge waterstand
P07D0002,2002-04-28,Verlof
P07D0002,2002-05-14,Gegevens zoek wel opgenomen
P07D0002,2002-05-28,Gegevens zoek wel opgenomen
P07D0002,2002-07-14,Gegevens zoek wel opgenomen
P07D0002,2002-07-28,Gegevens zoek wel opgenomen
P07D0002,2002-10-14,Stier in de wei
P07D0002,2002-11-14,Stier in de wei
P07D0002,2002-11-28,Stier in de wei
P07D0002,2002-12-28,Verlof
P07D0002,2004-01-14,Weg afgesloten door werkzaamheden
P07D0002,2004-08-28,Weg afgesloten door werkzaamheden
P07D0002,2004-09-28,Weg afgesloten door werkzaamheden
P07D0002,2004-10-28,Weg afgesloten door werkzaamheden
P07D0002,2004-11-28,Weg afgesloten door werkzaamheden
P07D0002,2004-12-28,Verlof
P07D0008,2020-08-15,Zelf gat gegraven bij peilstok. Stond droog.
P07D0009,2020-08-15,Schatting.zelf kuil gegraven.stond droog.
P07D0010,2020-08-15,Schatting. Meetpunt stond droog.gat gegraven.
P07D0012,2010-11-29,ijsstand
P07D0012,2010-12-14,ijsstand
P07D0012,2010-12-28,ijsstand
P07G0002,1987-12-14,Geen gegevens
P07G0007,1987-12-14,Geen gegevens
P07G0008,1987-12-14,Geen gegevens
P07G0009,1987-12-14,Geen gegevens
P07G0038,2012-04-16,naast A.Buist
P07G0038,2012-04-27,naast A.Buist
P07G0038,2012-05-14,naast A.Buist
P07G0038,2012-05-29,naast A.Buist
P07G0038,2012-06-14,naast A.Buist
P07G0038,2012-06-27,naast A.Buist
P07G0038,2012-07-13,naast A.Buist
P07G0038,2012-07-30,naast A.Buist
P07G0038,2012-08-14,naast A.Buist
P07G0038,2012-08-28,naast A.Buist
P07G0038,2012-09-14,naast A.Buist
P07G0038,2012-12-14,naast A.Buist
