locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P01C0001,627.0,1960.0,1987.0,28.0,28.0,2.6881020733652266,0.22461767825678972,2.333,2.68,3.07,0.7369999999999997,NAP,1960-01-14,1987-12-14,01CS0006,146340.0,601300.0
P01C0002,304.0,1960.0,1973.0,14.0,14.0,3.2630592105263174,0.3074490750941892,2.8115,3.24,3.8,0.9884999999999997,NAP,1960-01-14,1973-06-28,01CS0012,149990.0,601250.0
P01C0003,380.0,1960.0,1977.0,18.0,18.0,4.20886842105263,0.24164679855822033,3.81,4.22,4.62,0.81,NAP,1960-01-14,1977-06-14,01CS0015,145950.0,600800.0
P01D0001,582.0,1960.0,1986.0,27.0,27.0,2.8227835051546393,0.29238143432059627,2.38,2.81,3.31,0.9300000000000002,NAP,1960-01-14,1986-07-15,01DS0009,154990.0,603140.0
P01D0002,343.0,1960.0,1974.0,15.0,15.0,1.8793586005830918,0.25428870462256226,1.5210000000000001,1.83,2.32,0.7989999999999997,NAP,1960-01-14,1974-10-14,01DS0015,150500.0,602490.0
P01D0003,582.0,1960.0,1986.0,27.0,27.0,2.642783505154642,0.28108007422576814,2.19,2.62,3.11,0.9199999999999999,NAP,1960-01-14,1986-07-15,01DS0022,154890.0,602310.0
P01D0004,777.0,1960.0,2000.0,41.0,41.0,2.259703989703988,0.22608738365617562,1.89,2.23,2.65,0.76,NAP,1960-01-14,2000-07-26,01DS0030,151920.0,601880.0
P01D0005,194.0,1996.0,2005.0,10.0,10.0,2.18979381443299,0.503147563067345,0.943,2.365,2.5534999999999997,1.6104999999999996,NAP,1996-05-28,2005-04-25,01DS7041,155400.0,603540.0
P01D0006,185.0,1996.0,2005.0,10.0,10.0,2.269945945945944,0.5758297390432588,0.832,2.52,2.6959999999999997,1.8639999999999999,NAP,1996-05-28,2005-04-25,01DS7042,156080.0,603740.0
P01D0007,192.0,1996.0,2005.0,10.0,10.0,2.188385416666667,0.5528592953134506,0.76,2.39,2.5745,1.8145,NAP,1996-05-28,2005-03-14,01DS7043,155820.0,603085.0
P01D0008,193.0,1996.0,2005.0,10.0,10.0,2.18922279792746,0.5272451172312685,0.86,2.36,2.5579999999999994,1.6979999999999995,NAP,1996-05-28,2005-03-14,01DS7044,156300.0,603420.0
P01D0009,59.0,1996.0,1998.0,3.0,3.0,2.312372881355933,0.11461087062618705,2.108,2.32,2.451,0.34299999999999997,NAP,1996-05-28,1998-10-28,01DS7045,155975.0,602960.0
P01D0010,59.0,1996.0,1998.0,3.0,3.0,2.288813559322034,0.09065061282792473,2.14,2.29,2.433,0.2929999999999997,NAP,1996-05-28,1998-10-28,01DS7046,156240.0,602970.0
P01D0011,73.0,1996.0,1999.0,4.0,4.0,1.9523287671232874,0.10554778470154337,1.838,1.92,2.15,0.31199999999999983,NAP,1996-08-13,1999-08-31,01DS7047,156000.0,602590.0
P01H0001,145.0,2012.0,2019.0,8.0,8.0,0.6939310344827597,0.10295830164389198,0.54,0.72,0.85,0.30999999999999994,NAP,2012-12-13,2019-10-24,,172609.0,605746.0
P01H0002,68.0,2012.0,2015.0,4.0,4.0,0.8497058823529408,0.06250899847425656,0.757,0.855,0.93,0.17300000000000004,NAP,2012-12-13,2015-12-31,,172610.0,605746.0
