locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P01C0001,627.0,1960.0,1987.0,28.0,28.0,268.81020733652315,22.46176782567897,233.29999999999998,268.0,307.0,73.70000000000002,NAP,1960-01-14,1987-12-14,01CS0006,146340.0,601300.0
P01C0002,304.0,1960.0,1973.0,14.0,14.0,326.30592105263156,30.744907509418926,281.15,324.0,380.0,98.85000000000002,NAP,1960-01-14,1973-06-28,01CS0012,149990.0,601250.0
P01C0003,380.0,1960.0,1977.0,18.0,18.0,420.88684210526316,24.164679855822026,381.0,422.0,462.0,81.0,NAP,1960-01-14,1977-06-14,01CS0015,145950.0,600800.0
P01D0001,582.0,1960.0,1986.0,27.0,27.0,282.2783505154639,29.238143432059644,238.0,281.0,331.0,93.0,NAP,1960-01-14,1986-07-15,01DS0009,154990.0,603140.0
P01D0002,343.0,1960.0,1974.0,15.0,15.0,187.93586005830903,25.42887046225623,152.1,183.0,232.0,79.9,NAP,1960-01-14,1974-10-14,01DS0015,150500.0,602490.0
P01D0003,582.0,1960.0,1986.0,27.0,27.0,264.2783505154639,28.108007422576822,219.0,262.0,311.0,92.0,NAP,1960-01-14,1986-07-15,01DS0022,154890.0,602310.0
P01D0004,777.0,1960.0,2000.0,41.0,41.0,225.97039897039897,22.60873836561757,189.0,223.0,265.0,76.0,NAP,1960-01-14,2000-07-26,01DS0030,151920.0,601880.0
P01D0005,194.0,1996.0,2005.0,10.0,10.0,218.97938144329896,50.314756306734495,94.30000000000001,236.5,255.35,161.04999999999998,NAP,1996-05-28,2005-04-25,01DS7041,155400.0,603540.0
P01D0006,185.0,1996.0,2005.0,10.0,10.0,226.9945945945946,57.582973904325875,83.19999999999999,252.0,269.59999999999997,186.39999999999998,NAP,1996-05-28,2005-04-25,01DS7042,156080.0,603740.0
P01D0007,192.0,1996.0,2005.0,10.0,10.0,218.83854166666666,55.28592953134506,76.0,239.0,257.45,181.45,NAP,1996-05-28,2005-03-14,01DS7043,155820.0,603085.0
P01D0008,193.0,1996.0,2005.0,10.0,10.0,218.9222797927461,52.72451172312686,86.0,236.0,255.79999999999995,169.79999999999995,NAP,1996-05-28,2005-03-14,01DS7044,156300.0,603420.0
P01D0009,59.0,1996.0,1998.0,3.0,3.0,231.23728813559322,11.461087062618702,210.79999999999998,232.0,245.1,34.30000000000001,NAP,1996-05-28,1998-10-28,01DS7045,155975.0,602960.0
P01D0010,59.0,1996.0,1998.0,3.0,3.0,228.88135593220338,9.065061282792476,214.0,229.0,243.29999999999998,29.299999999999983,NAP,1996-05-28,1998-10-28,01DS7046,156240.0,602970.0
P01D0011,73.0,1996.0,1999.0,4.0,4.0,195.23287671232876,10.554778470154334,183.8,192.0,215.0,31.19999999999999,NAP,1996-08-13,1999-08-31,01DS7047,156000.0,602590.0
P01H0001,145.0,2012.0,2019.0,8.0,8.0,69.39310344827587,10.295830164389201,54.0,72.0,85.0,31.0,NAP,2012-12-13,2019-10-24,,172609.0,605746.0
P01H0002,68.0,2012.0,2015.0,4.0,4.0,84.97058823529412,6.25089984742566,75.7,85.5,93.0,17.299999999999997,NAP,2012-12-13,2015-12-31,,172610.0,605746.0
P01H0003,150.0,2012.0,2019.0,8.0,8.0,138.64,8.712622949360204,122.25,140.0,150.0,27.75,NAP,2012-12-13,2019-10-24,,172661.0,606222.0
P02G0001,704.0,1988.0,2018.0,31.0,31.0,-2.305397727272727,30.61055655839273,-24.0,-9.0,93.0,117.0,NAP,1988-07-28,2018-09-25,02GS7803,206190.0,602665.0
P02G0002,674.0,1988.0,2018.0,30.0,31.0,-28.608308605341247,31.691130878095148,-59.0,-31.0,63.0,122.0,NAP,1988-08-14,2018-09-25,02GS7804,205080.0,602130.0
P02G0003,707.0,1988.0,2018.0,31.0,31.0,40.22489391796322,21.493962584263407,-4.0,43.0,61.0,65.0,NAP,1988-08-14,2018-09-25,02GS7805,205070.0,602060.0
P02G0004,701.0,1988.0,2018.0,31.0,31.0,70.51069900142653,27.85608858189045,16.0,74.0,104.0,88.0,NAP,1988-08-14,2018-09-25,02GS7806,205290.0,601725.0
P02G0008,2993.0,2011.0,2020.0,10.0,10.0,-87.64249916471768,13.976578408876327,-102.0,-91.0,-59.0,43.0,NAP,2011-11-29,2020-02-07,,206066.0,601057.0
P02G0009,2650.0,2011.0,2020.0,10.0,10.0,-87.04867924528303,14.644042749952044,-102.0,-91.0,-55.0,47.0,NAP,2011-11-29,2020-02-07,,207900.0,601680.0
P02G0010,4382.0,2008.0,2020.0,13.0,13.0,-89.19511638521223,13.164422733458213,-102.0,-92.0,-60.0,42.0,NAP,2008-01-01,2020-01-02,,208695.0,602672.0
P02G0011,71.0,2016.0,2020.0,5.0,5.0,17.309859154929576,16.057567463256134,-1.0,18.0,37.0,38.0,NAP,2016-05-17,2020-01-29,,205956.0,602313.0
P02G0012,89.0,2016.0,2020.0,5.0,5.0,-42.82022471910113,16.386359209133236,-70.0,-46.0,-13.200000000000017,56.79999999999998,NAP,2016-05-17,2020-01-29,,205128.0,602114.0
P02G0013,87.0,2016.0,2020.0,5.0,5.0,44.160919540229884,26.31909447584272,0.0,54.0,70.0,70.0,NAP,2016-05-17,2020-01-29,,205088.0,602066.0
P02G0014,86.0,2016.0,2020.0,5.0,5.0,89.17441860465117,19.62662768699414,55.0,90.0,116.0,61.0,NAP,2016-05-17,2020-01-29,,205747.0,601257.0
P03D0001,68.0,1997.0,2000.0,4.0,4.0,38.838235294117645,9.985975679530197,27.35,37.0,56.0,28.65,NAP,1997-01-14,2000-04-28,03DS7000,233040.0,602320.0
P03D0002,54.0,1996.0,2000.0,5.0,5.0,40.074074074074076,12.188537534901082,15.0,44.5,56.0,41.0,NAP,1996-11-29,2000-04-28,03DS7001,233230.0,603040.0
P03D0003,42.0,1998.0,2000.0,3.0,3.0,32.07142857142857,3.50186610282155,27.0,32.0,38.89999999999999,11.899999999999991,NAP,1998-07-14,2000-04-28,03DS7602,230750.0,604900.0
P03G0001,89.0,1981.0,1985.0,5.0,5.0,20.06741573033708,16.852837468677457,-6.9999999999999964,29.0,39.0,46.0,NAP,1981-01-28,1985-02-28,03GS0008,241140.0,602930.0
P03G0002,152.0,1978.0,1985.0,8.0,8.0,34.14473684210526,14.600829104071993,5.0,40.0,52.24999999999994,47.24999999999994,NAP,1978-05-30,1985-07-01,03GS0009,241180.0,602910.0
P03G0003,152.0,1978.0,1985.0,8.0,8.0,50.151315789473685,9.030309425676268,30.0,50.0,60.0,30.0,NAP,1978-05-30,1985-07-01,03GS0010,241220.0,602860.0
P03G0004,0.0,,,0.0,,,,,,,,NAP,,,,242430.0,609180.0
P03G0007,0.0,,,0.0,,,,,,,,NAP,,,,242225.0,609179.0
P03G0008,0.0,,,0.0,,,,,,,,NAP,,,,240506.0,608389.0
P03G0010,0.0,,,0.0,,,,,,,,NAP,,,,241076.0,608840.0
P04D0001,6.0,1982.0,1988.0,4.0,7.0,135.33333333333334,5.240865068542279,129.5,135.5,142.25,12.75,NAP,1982-01-28,1988-01-27,04DS7028,119095.0,576635.0
P04D0002,21.0,1981.0,1988.0,7.0,8.0,95.14285714285714,6.559616713541381,88.0,93.0,107.0,19.0,NAP,1981-11-28,1988-03-30,04DS7029,119165.0,576655.0
P04D0003,225.0,1981.0,1994.0,14.0,14.0,94.16444444444444,7.885032032828412,84.0,93.0,109.79999999999998,25.799999999999983,NAP,1981-09-28,1994-06-28,04DS7030,119195.0,576690.0
P04D0004,324.0,1995.0,2019.0,25.0,25.0,100.82098765432099,14.602219739222548,85.0,98.0,121.69999999999993,36.69999999999993,NAP,1995-01-14,2019-10-31,04DS7030,119220.0,576660.0
P04D0005,144.0,1981.0,1990.0,10.0,10.0,101.41666666666667,6.08850803316626,93.15,100.0,113.85,20.69999999999999,NAP,1981-09-28,1990-05-14,04DS7031,119230.0,576860.0
P04D0006,32.0,1981.0,1984.0,4.0,4.0,114.8125,3.658287101380786,108.1,114.5,120.45,12.350000000000009,NAP,1981-10-14,1984-12-28,04DS7032,119185.0,576910.0
P04D0007,7.0,1985.0,1985.0,1.0,1.0,153.42857142857142,4.391550328268399,147.5,154.0,158.7,11.199999999999989,NAP,1985-09-13,1985-12-16,04DS7033,117930.0,576125.0
P04D0008,2.0,1986.0,1986.0,1.0,1.0,221.0,1.4142135623730951,220.1,221.0,221.89999999999998,1.799999999999983,NAP,1986-01-16,1986-01-28,04DS7034,117955.0,576095.0
P04D0009,17.0,1985.0,1986.0,2.0,2.0,137.23529411764707,5.974209275760955,129.6,138.0,147.6,18.0,NAP,1985-01-30,1986-03-14,04DS7035,118265.0,576310.0
